sentence,pattern,lang_type,pos_sequence,sequence_length,error
哦 uh 係咪 去過 外國 讀書 呀 like usually it's like yeah curious about the background cause I don't sound Hong Kong Hong Kong,C1-E1-C5-E17,Code-switched,INTJ INTJ VERB VERB NOUN VERB PART INTJ ADV PRON AUX INTJ INTJ ADJ ADP DET NOUN NOUN PRON AUX PART VERB PROPN PROPN PROPN PROPN,26,False
都 會 㗎 係 啊 係 啊 有時候 yeah,C8-E1,Code-switched,ADV AUX PART VERB PART VERB PART ADV INTJ,9,False
通常 即係 要 講 譬如 去 剪頭髮 要 講 順 廣東話 咁 樣 就 會 囉 係 嘞,C18,Cantonese,ADV CCONJ VERB VERB VERB VERB NOUN AUX VERB ADV PROPN ADV NOUN ADV AUX VERB VERB PART,18,False
香港 係 香港 或者 eh So South of China 囉 即係 但係 其實 真係 都 係 都 香 香港 囉 係 囉 香港 囉 其實 I'm thinking 香港 廣州 definitely closer to 香港,C4-E5-C16-E2-C2-E3-C1,Code-switched,PROPN VERB PROPN CCONJ INTJ ADV PROPN ADP PROPN INTJ CCONJ CCONJ ADV ADV ADV VERB ADV VERB PROPN NOUN VERB VERB PROPN PART ADV PRON AUX VERB PROPN PROPN ADV ADV ADP PROPN,34,False
Uh 口音 囉 同埋 用字 囉 即係 有時 feel 到 㗎,E1-C7-E1-C2,Code-switched,INTJ NOUN VERB CCONJ NOUN NOUN CCONJ ADV VERB VERB PART,11,False
即係 即係 譬如 如果 係 ABC 啦 咁 就 有啲 鬼 鬼 哋 嘅 口音 啦,C5-E1-C10,Code-switched,CCONJ CCONJ VERB CCONJ VERB PROPN VERB ADV ADV PRON ADV ADV PART PART NOUN NOUN,16,False
咁 如果 有時 係 啲 大陸 落嚟 嗰啲 即係 有啲 Mandarin accent 呢 就 會 都 係 有啲 口音 囉 譬如 可能 佢哋 講 一二 三 佢哋 會 一二 山 因為 佢 個 一二 三 係 無 即係 口 唔會 盒 埋 即係 聽到 囉,C10-E2-C33,Code-switched,ADV CCONJ ADV VERB NOUN PROPN VERB PRON CCONJ PRON PROPN NOUN PART ADV AUX ADV VERB PRON NOUN ADV VERB AUX PRON VERB NUM NUM PRON AUX NUM NOUN CCONJ PRON NOUN NUM NUM VERB ADV CCONJ NOUN ADV VERB PART CCONJ VERB PROPN,45,False
跟住 如果 佢 係 廣州 嗰啲 呢 就 通常,C9,Cantonese,CCONJ CCONJ PRON VERB PROPN PRON PART ADV ADV,9,False
佢哋 嘅 用字 會 有啲 唔同 嘅,C7,Cantonese,PRON PART NOUN AUX PRON ADJ PART,7,False
譬如 佢哋 uh 我哋 話 禮拜六 日 啊 或者 佢哋 可能 會 講 週末 或者 即係 書面語 化 啲 囉 係 嘞,C2-E1-C19,Code-switched,VERB PRON INTJ PRON VERB ADV NOUN PART CCONJ PRON AUX AUX VERB NUM CCONJ CCONJ NOUN X NOUN NOUN VERB PART,22,False
我 個 感覺 就係 咁 囉 但係 可能 即係 through the conversation 就 留意 到 咁 樣 囉 係 嘞,C9-E3-C8,Code-switched,PRON NOUN NOUN ADV ADV ADJ CCONJ AUX CCONJ ADP DET NOUN ADV VERB PART ADV NOUN NOUN VERB PART,20,False
香港人 呀,C2,Cantonese,PROPN PART,2,False
Uh 香港 口音 就可以,E1-C3,Code-switched,INTJ PROPN NOUN ADV,4,False
係 嘞,C2,Cantonese,VERB PART,2,False
但係 如果 係 international school 好似 我 咁 就 未必 得 囉 即可 能 都 覺得 係 美國人 囉,C3-E2-C14,Code-switched,CCONJ CCONJ VERB PROPN NOUN VERB PRON ADV ADV ADV VERB NOUN ADV AUX ADV VERB VERB NOUN VERB,19,False
係 嘞,C2,Cantonese,VERB PART,2,False
其實 都 唔係 嘅 因為 香港 好多 expat,C7-E1,Code-switched,ADV ADV VERB PART CCONJ PROPN NUM PROPN,8,False
即係 嗰啲 外國人 喺度 做嘢 啦 或者 好多 其實 啲 eh 南亞 裔 人 呀 係 嘞 咁 佢哋 住 喺度 譬如 仔女 喺度 出世 嘅 咁 基本上 成世 都 喺度 長大 呀 但 可能 佢哋 即係 返學 又 國際學校 啦 又 未必 真係 講 廣東話 無講 得 咁多 但 佢哋 其實 都,C10-E1-C42,Code-switched,CCONJ PRON NOUN ADP VERB VERB CCONJ NUM ADV NOUN INTJ PROPN VERB NOUN PART VERB PART ADV PRON VERB ADV VERB NOUN VERB VERB PART ADV ADV ADV ADV VERB ADJ PART CCONJ AUX PRON CCONJ VERB ADV NOUN NOUN ADV ADV ADV VERB PROPN VERB PART ADV CCONJ PRON ADV ADV,53,False
講 廣東話 無講 得 咁多 但 佢哋 其實 都 technically 係 香港人,C9-E1-C2,Code-switched,VERB PROPN VERB PART ADV CCONJ PRON ADV ADV ADV VERB PROPN,12,False
但 就 唔係 話 好 mm 都 算 係 囉 我 覺得,C5-E1-C6,Code-switched,CCONJ ADV VERB VERB ADV PROPN ADV VERB VERB PART PRON VERB,12,False
我 覺 中國人 唔使,C4,Cantonese,PRON VERB NOUN AUX,4,False
Umm 佢 嘅 作用 呀 都,E1-C5,Code-switched,VERB PRON PART NOUN PART ADV,6,False
佢 嘅 作用 呀 都 第一 就 同 其他人 溝通 啦,C11,Cantonese,PRON PART NOUN PART ADV NUM ADV ADP NOUN VERB NOUN,11,False
即係 都 即係 我哋 嘅 身分 好多 都 會 係 屋企人 或者 爸爸 媽媽 啊 或者 啲 親戚 朋友 啊 嚟 即係 develop 𠺢嘛 咁 你 我 要 識 廣東話 可以 同 佢哋 溝通 先可以 develop 呢個 identity 咁 樣 係 喇,C22-E1-C12-E1-C1-E1-C4,Code-switched,CCONJ ADV CCONJ PRON PART NOUN NUM ADV AUX VERB NOUN CCONJ NOUN NOUN PART CCONJ NOUN NOUN NOUN PART VERB CCONJ VERB NOUN ADV PRON PRON VERB VERB PROPN AUX ADP PRON VERB NOUN VERB PRON NOUN ADV NOUN VERB PART,42,False
咁 in terms of 呢個 即係 interpersonal relationship 喇 in terms of self 呢 即係 你 要 有 個 字 先可以 describe 到 你 嗰種 feeling 所以 我 覺得 係 囉 我 覺得 廣東話,C1-E3-C2-E2-C1-E4-C8-E1-C3-E1-C8,Code-switched,ADV ADP NOUN ADP PRON CCONJ ADJ NOUN PART ADP NOUN ADP NOUN PART CCONJ PRON AUX VERB NOUN NOUN NOUN VERB VERB PRON PRON VERB CCONJ PRON VERB VERB ADV PRON VERB PROPN,34,False
Is this a larger range of describable emotion,E8,English,AUX PRON DET ADJ NOUN ADP NOUN NOUN,8,False
I think Yeah,E3,English,PRON VERB INTJ,3,False
或者 啲 嬲 啊 嗰啲 就 即係 嬲 人 又 好似 多 啲 方法 咁 樣 就 yeah so there's more,C17-E4,Code-switched,CCONJ NOUN NOUN PART PRON ADV CCONJ VERB NOUN ADV VERB ADJ PART NOUN ADV NOUN ADV INTJ ADV PRON VERB ADJ,22,False
佢 嗰個 樣 啊 嘛 即係 我 覺得 用 即係 英文 嚟 你 去 angry 啊 frustrated 啊 嗰啲 啦,C14-E1-C1-E1-C3,Code-switched,PRON PRON NOUN PART ADV CCONJ PRON VERB VERB CCONJ PROPN NOUN PRON VERB ADJ INTJ VERB INTJ PRON NOUN,20,False
即係 但 香 你 廣東話 可能 有 嗰啲 音 呢 話 好 唔 耐煩 咁 樣 即係 係 囉,C19,Cantonese,CCONJ CCONJ ADV PRON PROPN AUX VERB PRON NOUN PART VERB ADJ ADV ADJ ADV NOUN CCONJ VERB X,19,False
Um at home if I'm talking about serious topics with my sister uh serious as in like anything that's not like you know daily chores like for example we're discussing the uh news or like plastic surgery something that's like a bit more serious then we use English,E48,English,INTJ ADP NOUN SCONJ PRON AUX VERB ADP ADJ NOUN ADP PRON NOUN INTJ ADJ ADP ADP ADP PRON PRON AUX PART INTJ PRON VERB ADJ NOUN INTJ ADP NOUN PRON AUX VERB DET INTJ NOUN CCONJ ADP ADJ NOUN PRON PRON AUX INTJ DET NOUN ADV ADJ ADV PRON VERB PROPN,52,False
Talking to uh friends would also mostly be in English,E10,English,VERB ADP INTJ NOUN AUX ADV ADV AUX ADP PROPN,10,False
Uh talking to online friends that only speak English would be English,E12,English,INTJ VERB ADP ADJ NOUN PRON ADV VERB PROPN AUX AUX PROPN,12,False
Yeah That's pretty much it,E5,English,INTJ PRON AUX ADV ADV PRON,6,False
And then obviously like writing all of writing is English for me,E12,English,CCONJ ADV ADV ADP VERB PRON ADP NOUN AUX PROPN ADP PRON,12,False
In terms of Cantonese would be like at home if I speak to my parents my mom and stuff that's in Chinese or like simple things would be in Chinese uh Cantonese,E32,English,ADP NOUN ADP PROPN AUX AUX ADP ADP NOUN SCONJ PRON VERB ADP PRON NOUN PRON NOUN CCONJ NOUN PRON AUX ADP ADJ CCONJ ADP ADJ NOUN AUX AUX ADP PROPN INTJ PROPN,33,False
At work actually work is kind of a mixture,E9,English,ADP NOUN ADV VERB AUX ADV ADV DET NOUN,9,False
If I'm speaking with patients it's Cantonese but the teaching language here in Hong Kong is English so we speak to colleagues in English,E24,English,SCONJ PRON AUX VERB ADP NOUN PRON AUX PROPN CCONJ DET NOUN NOUN ADV ADP PROPN PROPN AUX PROPN ADV PRON VERB ADP NOUN ADP PROPN,26,False
So bit of a mixture too,E6,English,ADV NOUN ADP DET NOUN ADV,6,False
Yeah and then daily like going out will be Cantonese,E10,English,INTJ CCONJ ADV ADV INTJ VERB ADP AUX AUX PROPN,10,False
All of the time,E4,English,PRON ADP DET NOUN,4,False
All of the time Yeah,E5,English,PRON ADP DET NOUN INTJ,5,False
As long as I know that they speak both I would mix,E12,English,ADV ADV SCONJ PRON VERB SCONJ PRON VERB PRON PRON AUX VERB,12,False
And it's more of a conscious effort to stick to one language for me,E14,English,CCONJ PRON AUX ADJ ADP DET ADJ NOUN PART VERB ADP NUM NOUN ADP PRON,15,False
So yeah So my the default is to mix it,E10,English,ADV INTJ ADV PRON DET NOUN AUX PART VERB PRON,10,False
Uh sometimes it's the grammar,E5,English,INTJ ADV PRON AUX DET NOUN,6,False
The grammar is so much easier to in Cantonese,E9,English,DET NOUN AUX ADV ADV ADJ PART ADP PROPN,9,False
Uh yeah,E2,English,INTJ INTJ,2,False
I'm thinking of an example,E5,English,PRON AUX VERB ADP DET NOUN,6,False
for words like clarity,E4,English,ADP NOUN ADP NOUN,4,False
Like you know how 香 Cantonese is 得 and 唔 得,E4-C1-E2-C1-E1-C2,Code-switched,INTJ PRON VERB SCONJ PROPN PROPN AUX VERB CCONJ ADV AUX,11,False
Like the 唔 is very quiet sometimes so you can't hear it so you have to switch to English yes or no like can or cannot it's like clearer to hear,E2-C1-E28,Code-switched,ADP PRON ADV AUX ADV ADJ ADV ADV PRON AUX PART VERB PRON ADV PRON VERB PART VERB ADP PROPN INTJ CCONJ INTJ INTJ AUX CCONJ AUX PART PRON AUX INTJ ADJ PART VERB,34,False
Sometimes it's just the word sometimes cause I forget the word,E11,English,ADV PRON AUX ADV DET NOUN ADV VERB PRON VERB DET NOUN,12,False
Um to how on how to say it and sometimes it's just it's not translatable and that word in that particular language helps convey my emotions better,E27,English,INTJ ADP SCONJ ADP SCONJ PART VERB PRON CCONJ ADV PRON AUX ADV PRON AUX PART ADJ CCONJ DET NOUN ADP DET ADJ NOUN VERB VERB PRON NOUN ADV,29,False
I think um,E3,English,PRON VERB INTJ,3,False
I think I'm more casual in Cantonese cause I just like my home language,E14,English,PRON VERB PRON AUX ADV ADJ ADP PROPN NOUN PRON ADV ADP PRON NOUN NOUN,15,False
And that's the language with family and whatnot,E8,English,CCONJ PRON AUX DET NOUN ADP NOUN CCONJ ADJ,9,False
And Yeah,E2,English,CCONJ INTJ,2,False
And Yeah,E2,English,CCONJ INTJ,2,False
I feel closer,E3,English,PRON VERB ADV,3,False
To the person in Cantonese I guess,E7,English,ADP DET NOUN ADP PROPN PRON VERB,7,False
I feel like it depends on the settig If it's like a friend setting then I don't really mind but they can do whatever they want But uh,E28,English,PRON VERB SCONJ PRON VERB ADP DET NOUN SCONJ PRON AUX ADP DET NOUN VERB ADV PRON AUX PART ADV VERB CCONJ PRON AUX VERB PRON PRON VERB CCONJ INTJ,30,False
I feel like it depends on the settig If it's like a friend setting then I don't really mind but they can do whatever they want But uh,E28,English,PRON VERB SCONJ PRON VERB ADP DET NOUN SCONJ PRON AUX ADP DET NOUN VERB ADV PRON AUX PART ADV VERB CCONJ PRON AUX VERB PRON PRON VERB CCONJ INTJ,30,False
But uh,E2,English,CCONJ INTJ,2,False
It's probably like more familiar to me cause like I'm also kind of like that,E15,English,PRON AUX ADV INTJ ADV ADJ ADP PRON VERB INTJ PRON AUX ADV ADV ADV ADP PRON,17,False
But if it's obvious like a job interview or you know t like if the setting is inappropriate then they should make an effort to stick to one,E28,English,CCONJ SCONJ PRON AUX ADJ ADP DET NOUN NOUN CCONJ PRON VERB NOUN INTJ SCONJ DET NOUN AUX ADJ ADV PRON AUX VERB DET NOUN PART VERB ADP NUM,29,False
Yeah That's it,E3,English,INTJ PRON AUX PRON,4,False
可以 啊,C2,Cantonese,AUX PART,2,False
我 喺 香港 出世,C4,Cantonese,PRON ADP PROPN VERB,4,False
eh 讀緊 書,E1-C2,Code-switched,INTJ ADJ NOUN,3,False
eh 讀緊 linguistics,E1-C1-E1,Code-switched,INTJ X NOUN,3,False
eh 佢 係 mainland 度 出世 跟住 之後 先 去 香港,E1-C2-E1-C7,Code-switched,INTJ PRON VERB NOUN ADV VERB CCONJ ADV ADV VERB PROPN,11,False
全部 都 係 mainland,C3-E1,Code-switched,ADV ADV VERB NOUN,4,False
有 兩 個,C3,Cantonese,VERB NUM NOUN,3,False
一個 係 細佬 跟住 一個 再 細 啲 嘅 阿妹,C10,Cantonese,ADV VERB NOUN CCONJ PRON ADV ADJ PART PART NOUN,10,False
都 係 一齊 住 即係 同一 個 單位,C8,Cantonese,ADV VERB ADV PART CCONJ ADP NOUN NOUN,8,False
係 呀 係,C3,Cantonese,VERB PART VERB,3,False
eh 好 細 過 即係 可能 講緊 三 歲 之前 可能 有 mainland 有 住 過 但係 唔係 好 肯定 幾耐 但 之後 三 歲 打 後 大部分 時間,E1-C11-E1-C16,Code-switched,INTJ ADV ADJ PART CCONJ AUX VERB NUM NOUN ADV AUX VERB NOUN VERB PART PART CCONJ VERB ADV ADJ PRON CCONJ ADV NUM NOUN VERB ADV NOUN NOUN,29,False
即係 九成 可能 除咗 旅行 啊 嗰啲 之外 都 係 喺 香港,C12,Cantonese,CCONJ NUM AUX ADP VERB PART PRON ADV ADV VERB ADP PROPN,12,False
eh 一直 都 係 喺 香港 返,E1-C6,Code-switched,INTJ ADV ADV VERB ADP PROPN VERB,7,False
eh 都 係 local 但係,E1-C2-E1-C1,Code-switched,INTJ ADV VERB ADJ CCONJ,5,False
eh 中學 係 一 間 即係,E1-C5,Code-switched,INTJ NOUN VERB NUM NOUN CCONJ,6,False
英文 教書 嘅 學校 但係 就 唔係 international,C7-E1,Code-switched,PROPN VERB PART NOUN CCONJ ADV VERB PROPN,8,False
uh huh 無,E2-C1,Code-switched,INTJ INTJ X,3,False
eh 比較 似 嗰啲 民間 信仰 多 即係 可能 會 拜 下 神 嗰啲 但係 唔係 exactly 例如 佛教徒 唔係 嗰啲 嘅 就,E1-C15-E1-C6,Code-switched,INTJ ADV VERB PRON NOUN VERB ADJ CCONJ AUX AUX VERB PART NOUN PRON CCONJ VERB ADV VERB NOUN VERB PRON PART ADV,23,False
我 應該 嘅 eh 無 啦 即係 可能 係 有啲,C3-E1-C6,Code-switched,PRON AUX PART INTJ ADV VERB CCONJ AUX VERB PRON,10,False
比較 Ritual 啲 啊 可能 eh 要 要 大 啲 先有 嗰啲 即係 會 有 呢啲 習俗,C1-E1-C3-E1-C11,Code-switched,ADV ADJ NOUN PART AUX INTJ AUX VERB ADJ PART VERB PRON CCONJ AUX VERB PRON NOUN,17,False
但係 eh,C1-E1,Code-switched,CCONJ INTJ,2,False
真係 好 religious 來講 可能 要 講 即係 小學 同 中學 佢 係 即係 我 係 送 咗 去,C2-E1-C16,Code-switched,ADV ADV ADJ VERB AUX AUX VERB CCONJ NOUN ADP NOUN PRON VERB CCONJ PRON VERB VERB PART VERB,19,False
有 宗教 背景 嘅 學校 讀,C6,Cantonese,VERB NOUN NOUN PART NOUN VERB,6,False
咁 小學 係 基督教 跟住 中學 係 天主教 但係 無 話 好 要求 一定要 eh 你 去 信教 定係 乜嘢 嘢 純粹 係 覺得 即係 可能,C14-E1-C11,Code-switched,ADV NOUN VERB NOUN CCONJ NOUN VERB NOUN CCONJ VERB VERB ADV VERB ADV INTJ PRON VERB NOUN CCONJ PRON NOUN ADV VERB VERB CCONJ AUX,26,False
有 宗教學 校 可能 嗰個 reputation 比較 好 啲 囉 咁 樣,C5-E1-C6,Code-switched,VERB NOUN NOUN AUX PRON NOUN ADV ADJ PART NOUN ADV NOUN,12,False
我 會 揀 第一個,C4,Cantonese,PRON AUX VERB PRON,4,False
emm 我 覺得 我 對於 即係,E1-C5,Code-switched,PROPN PRON VERB PRON ADP CCONJ,6,False
另外 嗰啲 個 connection 無咁 深 囉 即係,C3-E1-C4,Code-switched,CCONJ PRON NOUN NOUN ADV ADJ ADV CCONJ,8,False
eh 雖然 可能 係 有啲 law 啊 又 或者 乜嘢 啊 規定 咗 you are part of this 但係,E1-C4-E1-C7-E5-C1,Code-switched,INTJ CCONJ AUX VERB PRON NOUN INTJ ADV CCONJ PRON PART ADJ PART PRON AUX NOUN ADP PRON CCONJ,19,False
即係 我 覺得 有啲 感情 嘢 係,C7,Cantonese,CCONJ PRON VERB PRON NOUN NOUN VERB,7,False
或者 係 你 個 belonging sense of belonging 嗰啲 嘢 唔係 eh,C4-E4-C3-E1,Code-switched,CCONJ VERB PRON NOUN VERB NOUN ADP VERB PRON NOUN VERB INTJ,12,False
嗰啲 law and order 可以 可以 夾硬 就 晝 話 你 你 有囉 即係 呢 樣 好睇 嗰個 feeling 而 我 覺得 eh,C1-E3-C14-E1-C3-E1,Code-switched,PRON NOUN CCONJ NOUN AUX AUX ADV ADV ADV VERB PRON PRON VERB CCONJ PART NOUN ADJ PRON VERB CCONJ PRON VERB INTJ,23,False
即係 呢個 city 呢個 地方 對於 我 嚟講 嗰個 感受 大 喎 成個 國家,C2-E1-C11,Code-switched,CCONJ PRON NOUN PRON NOUN ADP PRON VERB PRON NOUN ADJ PART NOUN NOUN,14,False
係 呀 係,C3,Cantonese,VERB PART VERB,3,False
無 得 點 留意 社區 添,C6,Cantonese,VERB PART PRON VERB NOUN NOUN,6,False
但係 我 覺得 eh 嗰個,C3-E1-C1,Code-switched,CCONJ PRON VERB INTJ PRON,5,False
可能 mainland 落嚟 嗰啲 比例 越來越多,C1-E1-C4,Code-switched,AUX NOUN VERB PRON VERB ADV,6,False
係 啊 係,C3,Cantonese,VERB PART VERB,3,False
係 係,C2,Cantonese,VERB VERB,2,False
都 係 local 多,C2-E1-C1,Code-switched,ADV VERB ADJ ADJ,4,False
有 可能 間唔中 一兩個 即係 可能 同班 係 有 一個 例如 eh,C11-E1,Code-switched,VERB AUX ADV PRON CCONJ AUX ADP VERB VERB NUM VERB INTJ,12,False
巴基斯坦 嘅 噉樣,C3,Cantonese,ADJ PART CCONJ,3,False
但係 就 唔,C3,Cantonese,CCONJ ADV ADV,3,False
多 即係 個 數量 少,C5,Cantonese,ADJ CCONJ NOUN NOUN ADJ,5,False
好 tricky 喔,C1-E1-C1,Code-switched,ADV PROPN VERB,3,False
但係 我 覺得 eh 係 用,C3-E1-C2,Code-switched,CCONJ PRON VERB INTJ VERB VERB,6,False
即係 你 對 呢個 地方 嘅 感受 譬如 就話 即係 你 係咪 真係,C13,Cantonese,CCONJ PRON ADP PRON NOUN PART NOUN VERB ADV CCONJ PRON VERB ADV,13,False
例如 鍾意 呢 一度 你 對 呢度 發生 嘅 事 你 會 唔會 即係 聽 完 之後 你 會 好 有情 緒 好 有 感慨 定係 你 聽 完 係 覺得 emm 唔係 好 關 自己 事 嘅 噉樣 我 反而 係 個,C31-E1-C11,Code-switched,VERB VERB PART ADV PRON ADP PROPN VERB PART NOUN PRON AUX VERB CCONJ VERB PART ADV PRON AUX ADV ADJ NOUN ADV VERB NOUN CCONJ PRON VERB PART VERB VERB PROPN VERB ADV VERB PRON NOUN PART CCONJ PRON ADV VERB NOUN,43,False
唔係 好 關 自己 事 嘅 噉樣 我 反而 係 個 birth place 唔係 咁 重要,C11-E2-C3,Code-switched,VERB ADV VERB PRON NOUN PART CCONJ PRON ADV VERB NOUN NOUN NOUN VERB ADV ADJ,16,False
即係 等於 可能 就算 唔係 呢度 出世 嘅 我 覺得 你 eh 如果 係,C11-E1-C2,Code-switched,CCONJ VERB AUX CCONJ VERB PRON VERB PART PRON VERB PRON INTJ CCONJ VERB,14,False
有 有 一個 感情 連繫 嘅 咁 我 都 可以 計 自己 係,C13,Cantonese,VERB VERB PRON NOUN VERB PART ADV PRON ADV AUX VERB PRON VERB,13,False
emm 我 覺得 呢個 係 一個 即係 比較 有 大 啲 correlation,E1-C10-E1,Code-switched,PROPN PRON VERB PRON VERB ADV CCONJ ADV VERB ADJ PART NOUN,12,False
即係 你 當然 如果 你 傾 咗 好耐 咁 就 容易 啲 有 個 感情 但係 亦都 唔係 調轉 翻 話 只要 你 住 得 夠 耐 咁 你 就 一直 係 啦,C33,Cantonese,CCONJ PRON ADV CCONJ PRON VERB PART ADV ADV ADV ADJ PART VERB NOUN NOUN CCONJ ADV VERB VERB VERB VERB ADV PRON VERB PART VERB ADJ ADV PRON ADV ADV VERB NOUN,33,False
咁 要,C2,Cantonese,ADV AUX,2,False
可能 要睇 下 佢 嗰個 感情 係 即係 點樣 培養 出來 嘅 即係 可能 係 eh 佢 一直 身處 係 可能 外國 有啲 eheh 香港 community 啊,C15-E1-C7-E1-C1-E1-C1,Code-switched,AUX VERB PART PRON PRON NOUN VERB CCONJ PRON VERB VERB PART CCONJ AUX VERB INTJ PRON ADV NOUN VERB AUX NOUN PRON ADJ PROPN NOUN INTJ,27,False
咁 佢 嗰個 eh,C3-E1,Code-switched,ADV PRON PRON INTJ,4,False
但係 我 覺得 即係 如果 佢 真係 即係 鍾意 呢個 地方 嘅 咁 我 覺得 都 可以 計 囉,C19,Cantonese,CCONJ PRON VERB CCONJ CCONJ PRON ADV CCONJ VERB PRON NOUN PART ADV PRON VERB ADV AUX VERB NOUN,19,False
但係 如果 唔係 住 喺度 啊 咁 可能 有多 樣嘢 諗 就係 佢 所 鍾意 又 或者 佢 所 認識 嘅 個 嗰 香港 究竟 係咪 真係 同 reality 入邊 嗰個 情況 一樣,C28-E1-C4,Code-switched,CCONJ CCONJ VERB VERB VERB PART ADV AUX ADV NOUN VERB ADV PRON ADV VERB ADV CCONJ PRON ADV VERB PART NOUN PRON PROPN ADV VERB ADV ADP NOUN ADV PRON NOUN ADJ,33,False
我 覺得 都 係 都 係 類似 啦 好 都 係 好 講 感情 嘅 即係 你 話 好 喜歡 嗰個 嗰個 國家 嘅 咁 你 就可以 計 自己 係 啦,C31,Cantonese,PRON VERB ADV VERB ADV VERB ADJ NOUN ADV ADV VERB ADV VERB NOUN PART CCONJ PRON VERB ADV ADJ PRON PRON NOUN PART ADV PRON ADV VERB PRON VERB VERB,31,False
都 都 係 一個,C4,Cantonese,ADV ADV VERB PRON,4,False
我 覺得 係 尤其 係 由 文化 嗰度 嗰度 入手 即係 唔 唔係 因為 一個 例如 你 話 國家 有 好多,C21,Cantonese,PRON VERB VERB ADV VERB ADP NOUN PRON PRON VERB CCONJ ADV VERB CCONJ PRON VERB PRON VERB NOUN VERB NUM,21,False
層面 即係 可能 係 eh,C4-E1,Code-switched,NOUN CCONJ AUX VERB INTJ,5,False
例如 係 嗰個,C3,Cantonese,VERB VERB PRON,3,False
ruling 即係 個 沓 本質 嘅 嗰啲 政權 又 或者 係 嗰個 國家 本身 個 文化 本身 啊,E1-C17,Code-switched,VERB CCONJ NOUN NOUN NOUN PART PRON NOUN ADV CCONJ VERB PRON NOUN ADV NOUN NOUN NOUN PART,18,False
而 我 覺得 即係 如果 你 想,C7,Cantonese,CCONJ PRON VERB CCONJ CCONJ PRON AUX,7,False
叫 自己 做 let's say 美國人,C3-E2-C1,Code-switched,VERB PRON VERB VERB PRON VERB NOUN,7,False
y 你 係 鍾意 嗰個 地方 嘅 文化 多 啲 囉,E1-C10,Code-switched,PROPN PRON VERB VERB PRON NOUN PART NOUN ADJ PART NOUN,11,False
